Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000183784	DOCK8-AS1	6.575402157	0.001039376	Normal vs Doxo-treated	HSALNG0069528	anti_sense	Q75	NA	-	ZNG1A	TNMD
ENSG00000215458	AATBC	6.863742163	0.015035411	Normal vs Doxo-treated	HSALNG0133454	anti_sense	Not conserved	hsa-miR-6089	-	CSTB	TNMD
ENSG00000248362	ENSG00000248362	5.133765738	0.043528812	Normal vs Doxo-treated	HSALNG0045685	intronic_sense	Not conserved	NA	NA	C5orf46	TNMD
ENSG00000274238	ENSG00000274238	5.954392623	0.024838606	Normal vs Doxo-treated	HSALNG0035787	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-3187-3p,hsa-miR-6089	Body height,Lymphocyte count,Leukocyte count,Calcium measurement,Dna methylation,Stromal cell-derived factor 1 alpha measurement,Response to bupropion,Idiopathic pulmonary fibrosis,Insomnia measurement,Age at onset,Trans fatty acid measurement; Trans/cis-18:2 fatty acid measurement,Response to trauma exposure; Post-traumatic stress disorder symptom measurement,-	MMRN1	TNMD
ENSG00000198358	ENSG00000198358	6.261601054	0.009855901	Normal vs Doxo-treated	HSALNG0007881	anti_sense	Not conserved	hsa-miR-6089	Granulocyte count,-	LY9	TNMD
ENSG00000253930	TNFRSF10A-AS1	4.072962743	0.039692406	Normal vs Doxo-treated	HSALNG0150163	anti_sense	Not conserved	NA	NA	CHMP7	TNMD
ENSG00000265408	ENSG00000265408	6.98113777	0.002512114	Normal vs Doxo-treated	HSALNG0112137	sense	Q90	NA	-	CES3	TNMD
ENSG00000286981	ENSG00000286981	5.536268503	0.041414599	Normal vs Doxo-treated	NA	NA	NA	NA	NA	PCGF5	TNMD
ENSG00000204148	LINC00474	5.75445904	0.028051961	Normal vs Doxo-treated	HSALNG0073965	integenic	Q75	hsa-miR-6089	Sporadic amyotrophic lateral sclerosis	ASTN2	TNMD
ENSG00000249267	LINC00939	5.65365805	0.033453669	Normal vs Doxo-treated	HSALNG0094921	integenic	Q50	NA	Interleukin-1 beta measurement,Protein measurement	DHX37	TNMD
ENSG00000223883	LINC01707	5.149216819	0.032191273	Normal vs Doxo-treated	HSALNG0004345	integenic	Q50	hsa-miR-619-5p,hsa-miR-3190-5p	Risk-taking behaviour,Mathematical ability,Femoral neck bone mineral density,Self reported educational attainment; Psoriasis; Mathematical ability,Low density lipoprotein cholesterol measurement,Susceptibility to urinary tract infection measurement,Response to polyunsaturated fatty acid supplementation; Delta-5 desaturase measurement,Fev/fec ratio; Response to bronchodilator,-	LRRC7	TNMD
ENSG00000205015	LINC02138	4.551339847	0.017386313	Normal vs Doxo-treated	HSALNG0144825	integenic	Not conserved	hsa-miR-762,hsa-miR-6089	Suntan,-	ACSF3	TNMD
ENSG00000273348	ENSG00000273348	5.539156445	0.040003641	Normal vs Doxo-treated	HSALNG0120361	integenic	Q50	NA	Low density lipoprotein cholesterol measurement,Triglyceride measurement,Red blood cell distribution width,Lysophosphatidylcholine measurement,Benign prostatic hyperplasia; Lower urinary tract symptom,-	CTAGE1	TNMD
